FEC..DGCAAB..AAB....	AD,AL,AL
B..DEB.F.CAA..CAAG..	GR,AR
D...EFAAC.BAAC.B...G	AD
E...C.FDGCB..AAB..AA	AL,AL
.FD.EBAAG.BAA.C....C	AD
..D.CBEF.CB.AAG..AA.	AL
FDGE...AACB.AACB....	AD,AL
DF.E.BAAGCBAA.C.....	AD
B.D.GB.FE.AA.C.AA.C.	AR
F..DCBAAGCBAA.....E.	AD
DFE.CBAAGCBAA.......	AD
BF..EBG.DCAA..CAA...	AR
.F.ECDB..CGB.AA...AA	FL,BU,AL,AL
B..DCBFGECAA...AA...	AR
B.EC.BGFC..D.AA...AA	DL,AL,AL
B.EFCBDG.CAA...AA...	AR
B...CBFEDC..AA...AAG	AL
DFAA.BGAAEB..C....C.	CR,AD,AD,AL
....CBGDECBF.AA...AA	BU,FL,AL,AL
BF.DCB..GC...AAE..AA	AL,AL
..DC..F.C.GB.AA.BEAA	GU,BL,EU,EU,AL,AL
.D.CE.FGC.B..AAB..AA	AL,AL
.BEC..BDC....AAF.GAA	FU,GL,AL,GL,AL
.E.C..GDC.B.FAAB..AA	DU,FU,AL,AL
F...CGD.EC.BAA..BAA.	BL,AL
D.EC..BFC..B.AAG..AA	BU,AL,AL
D.G..FAAE.BAAC.B..C.	AD
...C..DFC.B.EAAB.GAA	FU,BU,EU,GL,AL,GL,AL
B.GEFBD..CAA..CAA...	AR
.DE...AAF.BAAGCB...C	AD
B.D..B.FEGAA..CAA..C	AR
.F..EBAADGBAAC....C.	AD
DBEC.GB.C....AA.F.AA	AL,FL,AL
.....F..G.BEAACBDAAC	FU,BU,EU,DL,AL
.DEC..BFC..BGAA...AA	BL,FL,GU,AL,AL
DF...BAAEGBAAC....C.	AD
.DG.E.B.FC.BAAC..AA.	BL,AL
BD...B...EAAFC.AAGC.	FU,CU,GR,AR
..G..DB.EC.BAAC.FAA.	BU,FL,AL
DE..CF...CGB.AA.B.AA	ER,BU,BU,AL,AL
D.EGCB..FCB.AA...AA.	AL
B.E.CB.D.CAA.GFAA...	AR
DE...BAA..BAACGF..C.	AD
B.D..B.EAAGFCAA..C..	DL,AD,ER,FU,CU,CU,AL,AL
.E..CD..GC..BAAF.BAA	BU,BU,AL,AL
.DF.G..AACBEAACB....	AD,EU,AL
BED.GB....AA.FCAA..C	AR
..D..BFEG.B.AAC..AAC	AL
..E.C.B.GCDBAA..FAA.	BU,FL,AL
.DAA.F.AAEBG..CB...C	AD,AD,GU,AL
..E..FDG..B.AACB.AAC	AL
.F..E..DGC.BAAC.BAA.	BL,AL
.DEF..AA.CBAAGCB....	AD
.FDC...EC.B.GAAB..AA	EL,GU,AL,AL
B....BFGDEAA..CAA..C	AR
BDC..BFCE.AA...AAG..	GR,AR
.GC..E.CAAB.DAABF...	AD,CR,DU,AL,FU,FU,AL
...EGDAA.CBAA.CB.F..	FR,AD
.D...BFEGCB.AAC..AA.	AL
...GC.BDFCEBAA...AA.	BU,AL
..EC..DFC.BG.AAB..AA	DU,GU,AL,AL
..GD..B.E..BAACF.AAC	BU,AL
E.C...GC..B..AABFDAA	CR,BU,FL,DU,DU,AL,AL
D..C.FEGC..BAA..BAA.	BL,AL
DFGEC.B..C.BAA...AA.	BL,AL
...EGBDAA.BFAAC....C	BU,AD,FL,AL
B.AAEBDAAG....CF...C	AD,AD,AL
....EFDG.C.BAAC.BAA.	BL,AL
...C..DGC.B.EAAB.FAA	GU,BU,EU,FL,AL,FL,AL
BD...B.GC.AAFCEAA...	GU,FU,AR
B...CB.F.CAAE.DAAG..	ER,GR,AR
......D.GEFBAAC.BAAC	FU,BL,AL
B.D..B..ECAAGFCAA...	GU,AR
BFD..B....AAGECAA..C	GU,AR
B....BFEDCAAG.CAA...	GR,AR
B.F.DB...CAA..CAAEG.	EU,EU,AR
...DCB..GCBFEAA...AA	FU,EU,AL,AL
B.GC.BEDC..F.AA...AA	FL,AL,AL
.E.C.DFGC.B.AA.B.AA.	AL
B.D..BFCGEAAC..AA...	DL,CU,AR
.F..CB.EDCB.AA.G.AA.	AL
.D...BGE..B.CAA.FCAA	ER,CU,CU,AL,FL,AL
BDGCEBF.C.AA...AA...	AR
..E..FDG..B.AACB.AAC	AL
DG.C..F.C..BAA..BAAE	BL,AL
DG..CF...CB.AAEB.AA.	AL
BEGFCB...CAAD..AA...	DU,AR
BDGCEBF.C.AA...AA...	AR
DFGEC..B.C..BAA...AA	BL,BL,AL,AL
BF..EBG.DCAA..CAA...	AR
F.EG..B..CDBAAC..AA.	BU,AL
.DGC.FAACEBAA..B....	AD
.D.GC....CBEFAAB..AA	EU,FU,AL,AL
FDGE.....C.BAAC.BAA.	BL,AL
BDE..BG.....AACF.AAC	AL
B.EGDB...C..AAC.FAA.	FL,AL
B...CB..GC..DAAFE.AA	DU,AL,FU,EL,AL
D.EFC.AA.CBAAG.B....	AD
.F..GDAAE.BAA.CB...C	AD
BDECGBF.C.AA...AA...	AR
B....BFEDCAAG.CAA...	GR,AR
....C.EFGCBDAA.B.AA.	EU,DU,AL
D..C.FEGC..BAA..BAA.	BL,AL
BD..CBGE.C...AAF..AA	AL,AL
DFEG......B.AACB.AAC	AL
..GE.DFAA..BAAC.B..C	AD,BL,AL
DEC..BGCAAB.FAA.....	AD,CR,FU,AL,AL
.E.C.DFGC.B.AA.B.AA.	AL
B.DC.B..C.GFAA..EAA.	FU,EL,AL
..EGCDFAAC.BAA..B...	AD,BL,AL
G..DC..BEC..BAAF..AA	BU,AL,AL
.F..GDAA.CBAAECB....	AD
B...GB.EDC..AAC.FAA.	FL,AL
