BDGE.B.F.CAA..CAA...	AR
BDE..BF..CAAG.CAA...	GU,AR
.B..C.BE.CD.GAAF..AA	EU,GU,AL,AL
D..GC.FE.CB.AA.B.AA.	AL
B.D..BFEC.AA.C.AAG..	GR,AR
DFEC.B.GC.B.AA...AA.	AL
DF.E...G...BAAC.BAAC	BL,AL
BDE..BF...AAGC.AA.C.	GU,AR
D.E.CFB..C.BGAA...AA	BU,GU,AL,AL
DE..CBF.GCB.AA...AA.	AL
BF.D.B.G.CAAE.CAA...	ER,AR
BD.GEB.F.C..AAC..AA.	AL
BDE..BF...AAGC.AA.C.	GU,AR
DFEC.B.GC.B.AA...AA.	AL
.DE.CBG..CB.AA..FAA.	FL,AL
D.F...BEGC.BAAC..AA.	BU,AL
BDE..BF..CAAG.CAA...	GU,AR
B.E.CBDG.C..AA.F.AA.	AL
BD..EBF...AA.GCAA..C	AR
B.D..BF.G.AAE.CAA..C	EU,AR
BDGE.BF.....AAC..AAC	AL
BD.E.BFG.CAA..CAA...	AR
B.D.EBAA...AAGCF...C	AD
B.G.EBDF.CAA..CAA...	AR
BDEC.BF.C....AA..GAA	GU,GU,AL,AL
BD.ECB.G.CAA.F.AA...	AR
D.FEC..G.CB.AA.B.AA.	AL
B.D.EB.FGC..AAC..AA.	AL
D..ECB.G.CBFAA...AA.	FU,AL
BDEC.BF.C.AAG..AA...	GU,AR
.DE.CBF.GCB.AA...AA.	AL
.G..EF....B.AACBDAAC	DU,DU,AL
BD.ECB...CAA.F.AAG..	GR,AR
BD...B.FECAA.GCAA...	AR
BDG.EBFC..AAC..AA...	CR,AR
D.E.CBFG.CB.AA...AA.	AL
B..E.BD.GCF.AAC..AA.	AL
.D.C.BGEC.B.AA..FAA.	FL,AL
BDE..BF...AAGC.AA.C.	GU,AR
BE..FBD..CAA..CAA.G.	AR
BDE..BF.C.AA.C.AAG..	GR,AR
DE.C..G.C..BAA.FBAA.	GR,BU,BL,AL
D.E.CB.G.CBF.AA...AA	FU,AL,AL
BDE..BF.GC..AAC..AA.	AL
BDEGCBAAFC.AA.......	AD
BD.E.BFG.CAA..CAA...	AR
BD.ECBF..CAAG..AA...	GU,AR
.EDC....C.BFGAAB..AA	FU,GU,AL,AL
BDE.CBG..C.FAA...AA.	FL,AL
B.E..B..G..FAACD.AAC	FU,AL
D.EC.BFGC.B..AA...AA	AL,AL
BDE..B.FC.AAGC.AA...	FL,GU,AR
D.C..E.C..BG.AAB.FAA	CR,GU,FU,FU,AL,AL
BDE..BFGC.AA.C.AA...	AR
.DE.CB.G.CBFAA...AA.	FU,AL
BDE.CB.G.C.F.AA...AA	FU,AL,AL
B..FEB.DC.AAGC.AA...	DU,GU,AR
..E.C.DG.CBFAA.B.AA.	DU,FU,AL
G.B.C.DBEC...AA..FAA	FL,AL,FL,AL
..D.CF..EC.B.AA.BGAA	BL,GU,GU,AL,AL
B.EC.B..C..DFAA..GAA	DU,FU,GL,AL,GL,AL
.BE...BD..AAF.CAA.GC	FR,AR
.DE..BF..CB.AACG.AA.	AL
BDEC.B.FC.AA.G.AA...	AR
BDG.CBF.EC...AA...AA	AL,AL
BD..EBFGC.AA.C.AA...	AR
DE..C.G..CF.BAA..BAA	BU,BU,AL,AL
.E..CDF..C.BGAA.B.AA	BL,GU,AL,AL
BDEC.BG.C..F.AA...AA	FL,AL,AL
.DGEC.F..CB.AA.B.AA.	AL
..DEC.BG.C.B.AA..FAA	BU,FL,AL,FL,AL
.F.ECB.DGCB.AA...AA.	AL
.DEC...GC.BFAA.B.AA.	FU,AL
BDE.CBFG.CAA...AA...	AR
B.DE.B.FG.AAC..AAC..	CR,AR
DFE.CB.G.CB..AA...AA	AL,AL
BDE..BF.G.AA.C.AA.C.	AR
.DE.CB.G.CBFAA...AA.	FU,AL
B.DC.BFEC.AAG..AA...	GR,AR
B.EDCBF.GC...AA...AA	AL,AL
D.EC.BFGC.B..AA...AA	AL,AL
E...CDFG.CB.AA.B.AA.	AL
BF.ECB.D.CAA.G.AA...	AR
DF..C...ECB.AA.B.AAG	AL
.DEC...GC.BFAA.B.AA.	FU,AL
.F.DEB..GCB.AAC..AA.	AL
B.EC.BDGC...AA..FAA.	FL,AL
D.EC.BFGC.B..AA...AA	AL,AL
DFE..B.G.CB.AAC..AA.	AL
.DEC.B.GC.B.AA..FAA.	FL,AL
BDE.CBFG.CAA...AA...	AR
BDGECBF..CAA...AA...	AR
BD.E.BFG..AA.C.AA.C.	AR
BD.GCB..FCAA...AA.E.	AR
.DE.GB.F.CB.AAC..AA.	AL
BD.E.B.F.CAAG.CAA...	GR,AR
D.E.CBFG.CB.AA...AA.	AL
B.EC.BDFC.AAG..AA...	GR,AR
.D.ECB..GCB..AA.F.AA	AL,FL,AL
BD.E.BF.C.AAGC.AA...	GU,AR
D.EGC....CFBAA..BAA.	FU,BL,AL
B.DECBFG.C..AA...AA.	AL
.DE..BG..CBFAAC..AA.	BU,FL,AL
D....G.E..B.AACBFAAC	FU,FU,AL
BDEC.BF.C.AA...AA.G.	AR
BD.E.BFG..AA.C.AA.C.	AR
BDE..BF.GC..AAC..AA.	AL
B.E.GBFD..AA.C.AA.C.	AR
.DE.CF.G.CB..AAB..AA	AL,AL
BD.E.BF...AAC.GAAC..	CR,AR
B..D.BFE..AAG.CAA..C	GR,AR
BD.E.BFC..AAC..AAG..	CU,GR,AR
BD.C.B.EC...GAA.F.AA	EU,GU,AL,FL,AL
.DE.CB.G.CBFAA...AA.	FU,AL
D...CB.GECB.AA..FAA.	FL,AL
B.DGEBF..CAA..CAA...	AR
BD..CBFGEC..AA...AA.	AL
BD..EB.GF...AAC..AAC	AL
BDGECBF..CAA...AA...	AR
.DEC.B.GC.BF.AA...AA	FU,AL,AL
B....B.DE.AA.GCAA.FC	AR
BDE.CBF..CAA...AAG..	GR,AR
..E.CFDG.CB.AA.B.AA.	AL
FD.EG.AAC.BAAC.B....	AD
BDEC.B.FC.AA.G.AA...	AR
FD...GAAE.BAA.CB...C	AD
BDE.CBF..C..GAA...AA	GU,AL,AL
.DGECB...CBFAA...AA.	FU,AL
D.G.C.F.ECB.AA.B.AA.	AL
B.DE.BFG..AAC..AAC..	CR,AR
BDE..B.G....AAC.FAAC	FL,AL
.EFC.BD.C.B.GAA...AA	GU,AL,AL
D.E.C.FG.C.BAA..BAA.	BL,AL
.DFECB..GCB..AA...AA	AL,AL
BDE.CB.G.C.F.AA...AA	FU,AL,AL
BDE.CB..GC.FAA...AA.	FU,AL
.D.E.B....BGAAC.FAAC	GU,FL,AL
D..F.B.GECB.AAC..AA.	AL
B.E.CBDF.CAA.G.AA...	AR
BE...B..DGF.AAC..AAC	AL
...C..DEC.BFGAAB..AA	DU,EU,FU,GU,AL,AL
BDE..BFG....AAC..AAC	AL
D.E.CB.G.CBF.AA...AA	FU,AL,AL
B..E.BDFC.AAGC.AA...	FU,GU,AR
BDE.CB..GC.FAA...AA.	FU,AL
BDE..BF..CAAG.CAA...	GU,AR
D.E.CBFG.CB.AA...AA.	AL
..DECB.G.CB.AA.F.AA.	AL
.DEC.BG.C.B.AA.F.AA.	AL
BDEC.BF.C.AAG..AA...	GU,AR
BD.C.BFEC....AA.G.AA	AL,GL,AL
...C..EGC.BDFAAB..AA	EU,GU,DU,FU,AL,AL
.D.E...GF..BAAC.BAAC	BL,AL
B..ECBD..CF.AA.G.AA.	AL
BD.E.BFG.CAA..CAA...	AR
....CDFEGCB.AA.B.AA.	AL
B.DECBFG.CAA...AA...	AR
BD.E.B.G.CF.AAC..AA.	AL
B.DE.BFGC.AA.C.AA...	AR
.DEC.B.GC.BF.AA...AA	FU,AL,AL
BDE.CBFG.C..AA...AA.	AL
BD.GCBFE.C...AA...AA	AL,AL
.D.C.BFEC.B..AA..GAA	GL,AL,GL,AL
BDEC.BF.C....AA..GAA	GU,GU,AL,AL
.D..C.F.ECB.GAAB..AA	GU,AL,AL
....GB..E.BDAAC.FAAC	DU,FL,AL
.DE..B.F.GB.AAC..AAC	AL
B.EDCBFG.CAA...AA...	AR
DFEC.B.GC.B.AA...AA.	AL
DFEC.B.GC.B.AA...AA.	AL
BD.ECB.F.CAA...AA..G	AR
BDE..BFG..AA..CAA..C	AR
B....BF..CAADECAA.G.	DU,AR
DE.C.FBGC..BAA...AA.	ER,BU,AL
D...C.BGEC.BAA.F.AA.	BU,AL
....EDFG.C.BAAC.BAA.	BL,AL
BDEC.BF.C..G.AA...AA	GL,AL,AL
BDEC.BF.C...AAG..AA.	AL
.DEC.B.GC.BF.AA...AA	FU,AL,AL
B.EC.BDGC..F.AA...AA	FL,AL,AL
.DE.CBF.GCB.AA...AA.	AL
BDE.CBF..CAA...AAG..	GR,AR
BDE.CB.FGC..AA...AA.	AL
.D.GCBFE.CB.AA...AA.	AL
..DECBFG.CB..AA...AA	AL,AL
B.ED.BF...AA.GCAA..C	AR
BDE..BFG..AA..CAA..C	AR
B.D..BFE..AA..CAAG.C	GR,AR
BDE..B.G.C.FAAC..AA.	FU,AL
.D..G....EB.AACBFAAC	BU,FL,AL
BD.C.BF.C.AAE.GAA...	EU,AR
FD.....GEC.BAAC.BAA.	BL,AL
DG..CFE..CB.AA.B.AA.	AL
..EGCB...CB.DAAF..AA	DU,AL,AL
DE......GCB.AACBFAA.	BU,FL,AL
BF..EBD..CAA..CAA.G.	AR
D.EC.BFGC.B..AA...AA	AL,AL
BDE..BF.GCAA..CAA...	AR
BD.GEB...CAA..CAAF..	FR,AR
B.FCEBD.C.AA...AAG..	GR,AR
FD....AAECBAA.CB..G.	AD
B.EC.BG.C...FAA.D.AA	FU,AL,DL,AL
B.DECBFG.CAA...AA...	AR
.BDE..B..GAAFC.AA.C.	FU,AR
BDGECBF..CAA...AA...	AR
